name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,384,1714196626,,,,,,,2.3676438,48.8480159,,,
Opéra,385,1387269068,,,,,,,2.3324822,48.871468,,,
,386,6974238268,,,,,,,2.3446284,48.8828138,,,
,387,6974239193,,,,,,,2.3447016,48.8827235,,,
,388,94210795,,,,,,,2.3456943,48.8823523,,,
,389,19715146,traffic_signals,,signal,,,,2.3466024,48.8819948,,,
,390,1651629102,,,,,,,2.3793033,48.8404839,,,
,391,367997,,,,,,,2.3789998,48.8404205,,,
,392,6483877365,,,,,,,2.3200309,48.8746457,,,
,393,34843170,traffic_signals,,signal,,,,2.3194392,48.8745263,,,
,394,8809440,,,,,,,2.3750856,48.8557643,,,
,395,252682722,,,,,,,2.3761196,48.8544195,,,
,396,430795,traffic_signals,,signal,,,,2.3770122,48.8532717,,,
,397,792973,,,,,,,2.3673258,48.8305555,,,
,398,15859474,,,,,,,2.3681904,48.8310663,,,
,399,706744224,traffic_signals,,signal,,,,2.361148,48.8681406,,,
,400,25034329,,,,,,,2.3527378,48.8436926,,,
,401,17809576,,,,,,,2.3527115,48.8432528,,,
,402,21659821,,,,,,,2.3527089,48.8429835,,,
,403,21659820,,,,,,,2.3527018,48.8427176,,,
,404,549792393,,,,,,,2.3526594,48.842208,,,
,405,17809575,,,,,,,2.3526201,48.8411208,,,
,406,2034662690,traffic_signals,,signal,,,,2.3441388,48.8308116,,,
,407,17975526,traffic_signals,,signal,,,,2.3442585,48.8311038,,,
,408,661209,,,,,,,2.3333573,48.8337679,,,
,409,6236703354,,,,,,,2.3335598,48.8337169,,,
,410,36469963,,,,,,,2.3151473,48.8404648,,,
,411,1115138134,,,,,,,2.3153072,48.8405121,,,
,412,7709505717,,,,,,,2.3160044,48.8407218,,,
,413,304488238,,,,,,,2.3189563,48.8415758,,,
,414,3534035622,,,,,,,2.3192821,48.8416705,,,
,415,4111985147,,,,,,,2.3193908,48.8417013,,,
,416,3838248478,crossing,,,,,,2.3197913,48.8418204,,,
,417,21348453,,,,,,,2.3199221,48.8418567,,,
,418,94139897,traffic_signals,,signal,,,,2.3668914,48.862463,,,
,419,94144255,traffic_signals,,signal,,,,2.3673118,48.8626491,,,
,420,470124,,,,,,,2.322861,48.8376844,,,
,421,10131361382,,,,,,,2.3227843,48.8381422,,,
,422,568469944,,,,,,,2.3226197,48.8385232,,,
,423,10130786582,crossing,,,,,,2.3225774,48.8386287,,,
,424,36591147,,,,,,,2.3222449,48.8394551,,,
,425,1795366564,traffic_signals,,signal,,,,2.32201,48.8400041,,,
,426,1142990141,,,,,,,2.3641911,48.8432233,,,
,427,7227240495,,,,,,,2.3593391,48.8420487,,,
,428,368120,crossing,,,,,,2.3483504,48.8557195,,,
,429,677104497,traffic_signals,,signal,,,,2.3483197,48.8556672,,,
,430,411736414,traffic_signals,,signal,,,,2.3644704,48.8437592,,,
,431,247754373,traffic_signals,,signal,,,,2.364668,48.8436927,,,
,432,411736460,traffic_signals,,signal,,,,2.3647814,48.8436671,,,
,433,260800258,traffic_signals,,signal,,,,2.3677829,48.8796421,,,
,434,1789061416,crossing,,,,,,2.3677166,48.8795596,,,
,435,17809569,traffic_signals,,signal,,,,2.3559577,48.8411637,,,
,436,21659759,,,,,,,2.3548415,48.8408884,,,
,437,439881536,,,,,,,2.3645709,48.8718378,,,
,438,439881545,,,,,,,2.3644425,48.8717095,,,
,439,5297593444,,,,,,,2.3636084,48.8701371,,,
,440,368094,traffic_signals,,signal,,,,2.3713523,48.8363672,,,
,441,6475521578,,,,,,,2.3713211,48.8364008,,,
,442,4754017845,,,,,,,2.3705715,48.8378797,,,
,443,1914164523,,,,,,,2.3684764,48.840737,,,
,444,15435311,,,,,,,2.3729131,48.8317197,,,
,445,1666357419,,,,,,,2.3737259,48.83135,,,
,446,9509756795,,,,,,,2.3744048,48.8310355,,,
,447,15435642,,,,,,,2.3754864,48.8298717,,,
,448,14956515,traffic_signals,,signal,,,,2.3753779,48.8356807,,,
,449,432807843,,,,,,,2.3753047,48.8356425,,,
,450,319179306,crossing,,,,,,2.3748626,48.8354002,,,
,451,5728444670,,,,,,,2.3742334,48.8350566,,,
