name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,479,41529805,turning_circle,,,,,,-111.907644,33.4245178,,,
,480,41529813,,,,,,,-111.936666,33.4243591,,,
,481,41529935,turning_circle,,,,,,-111.9785439,33.3543344,,,
,482,41531492,turning_circle,,,,,,-111.9386198,33.3335381,,,
,483,41531494,,,,,,,-111.9375496,33.3334818,,,
,484,41533468,,,,,,,-111.9396468,33.3346304,,,
,485,41533484,,,,,,,-111.9393266,33.3362643,,,
,486,41533490,,,,,,,-111.9386313,33.3370316,,,
,487,41533500,,,,,,,-111.9383052,33.3379781,,,
,488,41533501,,,,,,,-111.9383138,33.3384442,,,
,489,41533516,turning_circle,,,,,,-111.9385785,33.3463149,,,
,490,41533518,turning_circle,,,,,,-111.9385083,33.3471919,,,
,491,41533524,,,,,,,-111.9405837,33.3832583,,,
,492,41533528,,,,,,,-111.940627,33.3807582,,,
,493,41533533,,,,,,,-111.9412567,33.4219341,,,
,494,41533538,,,,,,,-111.9412354,33.4190569,,,
,495,41533540,,,,,,,-111.94123,33.4176195,,,
,496,41533544,,,,,,,-111.941205,33.416204,,,
,497,41533545,,,,,,,-111.9411894,33.4147443,,,
,498,41533548,,,,,,,-111.9387507,33.3322782,,,
,499,41533550,,,,,,,-111.9387663,33.3316453,,,
,500,41533551,,,,,,,-111.938785,33.3311882,,,
,501,41533555,turning_circle,,,,,,-111.938391,33.3368595,,,
,502,41533558,,,,,,,-111.939267,33.3616237,,,
,503,41533561,,,,,,,-111.9390262,33.3637033,,,
,504,41533571,,,,,,,-111.9385127,33.3652275,,,
,505,41533573,,,,,,,-111.9387018,33.366043,,,
,506,41533580,,,,,,,-111.9389855,33.3668305,,,
